status,name,address,rating,reviews,types,amenities,neighborhood,website,place_id,description,reason
NEW,"Seattle Sauna","2401 N Northlake Way Building G, Seattle, WA 98103, USA",5,125,"Boutique Sauna","cold_plunge; steam_room","Fremont","https://www.seattlesauna.com/?utm_source=google&utm_medium=gbp",ChIJobKAsJIVkFQR4DP0pdcr4_U,"The sauna and facilities were very clean and the attendant was friendly and helpful.",
NEW,"Hothouse Spa & Sauna","1019 E Pike St Hh, Seattle, WA 98122, USA",4.7,246,"Boutique Sauna","dry_sauna; steam_room; pool","SoDo","http://www.hothousespa.com/",ChIJFcr4N8xqkFQRmHDvFEwIquk,"It was relaxing, everything was working.",
NEW,"Wild Haus Floating Saunas","10 E Allison St, Seattle, WA 98102, USA",4.9,100,"Float Spa","dry_sauna","Pioneer Square","https://thewildhaus.com/",ChIJI04gsEoVkFQRnI8CwejhjFQ,"A refuge of peace, perspective and wellness in the heart of the city.",
NEW,"Banya 5","217 9th Ave N, Seattle, WA 98109, USA",4.5,753,"Russian Bathhouse","dry_sauna; cold_plunge; steam_room; massage; pool","Queen Anne","http://www.banya5.com/",ChIJMZB7KEgVkFQR4rfu5Fsaz-4,"People constantly shuffling in a very small space.",
NEW,"Bywater Sauna","8498 Seaview Pl NW, Seattle, WA 98117, USA",5,80,"Boutique Sauna","dry_sauna; cold_plunge","","https://www.bywatersauna.com/",ChIJ6x1JWbQXkFQRghYakQcIPBE,"Beautiful saunas, all extremely clean and such great vibes!",
NEW,"Sauna Hut Green Lake","6847 Oswego Pl NE, Seattle, WA 98115, USA",4.6,40,"Boutique Sauna","massage","University District","http://www.sauna-hut.com/",ChIJMWL6sxYVkFQRYW9e20PPtfE,"Three saunas aptly named after warm cities - Cabo, Miami & Rio.",
NEW,"Von Sauna","1200 Carillon Point, Kirkland, WA 98033, USA",5,514,"Boutique Sauna","cold_plunge","","https://www.vonsauna.co/",ChIJhZqqikkTkFQRri8w7zMyvG8,"The space was clean and booking was super easy.",
NEW,"Salt & Cedar Sauna Seattle","10 Dravus St, Seattle, WA 98109, USA",5,15,"Infrared Sauna","dry_sauna","Queen Anne","https://www.saltandcedarsauna.com/",ChIJHbq4IbsVkFQRk07pwfcmv2s,"Ricardo and his team are talented in creating an infrared sauna that has excellent craftsmanship and locally made.",
NEW,"Soak & Sage - A Social Wellness Spa","1135 Lake Washington Blvd N suite 60, Renton, WA 98057, USA",4.9,1720,"Day Spa","cold_plunge; steam_room; massage; pool","Renton","http://www.soakandsagespa.com/",ChIJY_OBYTVpkFQR64426ZIdHHw,"This spa is absolutely wonderful.",
NEW,"Steamworks Baths Seattle","1520 Summit Ave, Seattle, WA 98122, USA",3.6,108,"Modern Bathhouse","steam_room","SoDo","https://www.swbaths.com/",ChIJcb0nQMtqkFQRJd_w5dVdJ3c,"It's also a safe space:
If one want to visit and not getting touched at all, they can and everyone will respect that.",
NEW,"Bywater Sauna - Alki","2718 Alki Ave SW, Seattle, WA 98116, USA",5,10,"Boutique Sauna","cold_plunge","","https://www.bywatersauna.com/",ChIJIwuzDABBkFQR8k4lAkpRi4c,"The slow exposure to hot and cold over the last year has turned me into a beast, half ice turtle, half fire squirrel.",
NEW,"The Spa at Four Seasons Hotel Seattle","99 Union St, Seattle, WA 98101, USA",4.5,53,"Gym Sauna; Hotel Spa","dry_sauna; steam_room; massage","Downtown","https://www.fourseasons.com/seattle/spa/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sew-spa-mid-seo-na&utm_content=na-na&utm_term=na",ChIJMRWkOLJqkFQRcN4k0a41OpE,"Outstanding massage and spa experience for the price.",
NEW,"Q Sauna & Spa","17420 Hwy 99, Lynnwood, WA 98037, USA",4.1,743,"Boutique Sauna","cold_plunge; massage; pool","","https://qspalynnwood.com/",ChIJV0iv5BwFkFQRmNM_ORPqqYo,"The best part was the pools and it did make me feel better about spending that much money.",
NEW,"Fyre Sauna","14123 Redmond - Woodinville Rd NE, Redmond, WA 98052, USA",4.9,101,"Traditional Bathhouse","dry_sauna; cold_plunge","","https://www.fyresauna.com/",ChIJ1WpJw8AETQcRvgIvO7vCIC8,"A must visit for anyone who loves sauna!",
NEW,"Sauna Hut Shoreline","1610 NE 179th St, Shoreline, WA 98155, USA",4.9,16,"Boutique Sauna","massage","Shoreline","http://www.thesaunahut.com/",ChIJjbELfgkRkFQRQlOiSwVo6rU,"Boutique Sauna offering sauna and wellness experiences.",
NEW,"Seattle Athletic Club","2020 Western Ave, Seattle, WA 98121, USA",4.3,162,"Gym Sauna","steam_room; massage; pool","Fremont","http://www.sacdt.com/",ChIJxRG0N00VkFQRDKdpTdUwLtc,"The saline pool is amazing, always at the perfect temp, and only 4.",
NEW,"Olympic Athletic Club","5301 Leary Ave NW, Seattle, WA 98107, USA",4.3,554,"Gym Sauna","steam_room; pool","Ballard","http://www.olympicathleticclub.com/?utm_campaign=gmb",ChIJQ-6exLYVkFQRd8Fg0Qp0R4A,"Elegant sports club with weights, cardio machines, group classes, an indoor pool, saunas & jacuzzis.",
NEW,"Seattle Massage Sauna & Float","2818 E Madison St, Seattle, WA 98112, USA",4.9,205,"Float Spa","massage","Capitol Hill","https://www.seattlemassagepro.com/",ChIJx3eCmCxrkFQR0hC2jCcTb-E,"It includes three services- a 30-minute sauna, 60-minute massage, and 60-minute float.",
NEW,"The Spa at Hotel 1000","1000 1st Ave, Seattle, WA 98104, USA",4.4,65,"Hotel Spa","massage","Downtown","https://www.hotel1000seattle.com/spa.htm",ChIJl7vutrFqkFQRvP9b5Q94UhA,"The spa is near Seattleâ€™s waterfront with easy access to Pike Place Market and major tourist paths.",
NEW,"Innovative Health Gym & Wellness Center","1916 23rd Ave S Ste A, Seattle, WA 98144, USA",4.8,122,"Gym Sauna","massage","Beacon Hill","https://ih-seattle.com/",ChIJ0y7vrdRrkFQR2sqKdDW-ieo,"Innovative Health is one of the best spaces in the city for fitness and health.",
NEW,"Float Seattle (South Lake Union)","567 John St Suite 1, Seattle, WA 98109, USA",4.9,299,"Float Spa","","Queen Anne","http://www.floatseattle.com/",ChIJ45bsVA8VkFQR6WDpc7s5Z1k,"Hairdryer, body lotion, and even contacts lenses cases are available in the nearby bathroom.",
NEW,"Vihta Sauna","3560 W Lake Sammamish Pkwy SE, Bellevue, WA 98008, USA",5,97,"Boutique Sauna","cold_plunge","","https://www.vihtasauna.co/",ChIJMWwWOgBvkFQRnagMpxJHX3s,"If you enjoy Finnishâ€‘style saunas, or if youâ€™re curious to try an authentic experience for the first time, this is a wonderful place to do it.",
NEW,"Float Seattle (Renton Landing)","727 N 10th St B, Renton, WA 98057, USA",4.9,111,"Float Spa","","Renton","https://www.floatseattle.com/",ChIJb0jz7aBpkFQRL1iunU_Ir8A,"The space was clean, calm, and beautifully maintained.",
NEW,"Equinox Rainier Square","401 Union St Suite 220, Seattle, WA 98101, USA",3.1,151,"Gym Sauna","coed","Downtown","https://equinox-spa.com/serviceGroupDetails?facilityId=790&cid=gmb",ChIJK5aexv1rkFQRYmDn8PVtBzA,"Andre and Eva were incredibly patient, transparent, and welcoming throughout the process.",
NEW,"Hotel 1000, LXR Hotels & Resorts","1000 1st Ave, Seattle, WA 98104, USA",4.5,1421,"Hotel Spa","","Downtown","https://www.hilton.com/en/hotels/sealxol-hotel-1000/?SEO_id=GMB-AMER-OL-SEALXOL&y_source=1_MjYwNjIwNDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",ChIJvYvFsLFqkFQRPF48-leg-gc,"Elegant property featuring contemporary rooms & suites, plus a virtual golf course & a hip eatery.",
NEW,"The Woodmark Hotel and Still Spa on Lake Washington","1200 Carillon Point, Kirkland, WA 98033, USA",4.6,1345,"Hotel Spa","","","https://www.thewoodmark.com/",ChIJ2_L9biwTkFQRCMXqMf-4_e0,"Traditional quarters in an upscale waterfront hotel with a spa, plus loaner bikes & kayaks.",
NEW,"Hyatt at Olive 8","1635 8th Ave, Seattle, WA 98101, USA",4.5,2559,"Hotel Spa","steam_room; pool","Downtown","https://www.hyatt.com/en-US/hotel/washington/hyatt-at-olive-8/seahs?src=corp_lclb_google_seo_seahs&utm_source=google&utm_medium=organic&utm_campaign=lmr",ChIJ4bhONLVqkFQRcwS1O0KlbOM,"Polished high-rise lodging with an indoor pool, plus a seafood restaurant, a bar & a spa.",
NEW,"Lotte Hotel Seattle","809 5th Ave, Seattle, WA 98104, USA",4.5,422,"Hotel Spa","steam_room","Downtown","https://www.lottehotelseattle.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing",ChIJl3yvuRJrkFQRa1ze_XPfDFo,"Chic rooms & suites, some overlooking the Puget Sound, in an upscale hotel offering dining & a spa.",
NEW,"Grand Hyatt Seattle","721 Pine St, Seattle, WA 98101, USA",4.5,3302,"Hotel Spa","pool","Downtown","https://www.hyatt.com/grand-hyatt/en-US/seagh-grand-hyatt-seattle?src=corp_lclb_google_seo_seagh&utm_source=google&utm_medium=organic&utm_campaign=lmr",ChIJPaRbJbVqkFQR2GRoeJYqWrU,"Warm rooms & suites in an upscale, high-rise lodging offering a spa, intimate dining & event space.",
NEW,"Four Seasons Hotel Seattle","99 Union St, Seattle, WA 98101, USA",4.6,1965,"Hotel Spa","pool","Downtown","https://www.fourseasons.com/seattle/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sew-hre-mid-seo-na&utm_content=na-na&utm_term=na",ChIJsXC2QLJqkFQRVjAqYvY3XE0,"Posh rooms in an upmarket property with free Wi-Fi, regional fine dining, a spa & a rooftop pool.",
NEW,"The Alexis Royal Sonesta Hotel Seattle","1007 1st Ave, Seattle, WA 98104, USA",4.5,1099,"Hotel Spa","","Downtown","https://www.sonesta.com/royal-sonesta/wa/seattle/alexis-royal-sonesta-hotel-seattle?utm_source=google&utm_medium=organic&utm_campaign=gmb",ChIJcRowyrFqkFQRB8nWycTD-mE,"Elegant quarters in an upscale landmark property featuring a fitness center, plus a cafe & bar.",
NEW,"Hyatt Regency Lake Washington at Seattle's Southport","1053 Lake Washington Blvd N, Renton, WA 98056, USA",4.5,3003,"Hotel Spa","pool","Renton","https://www.hyatt.com/en-US/hotel/washington/hyatt-regency-lake-washington-at-seattles-southport/searl",ChIJcTnH_zxokFQRK-VP7sqgc48,"Polished lakefront hotel offering an indoor pool & a gym, plus a chic farm-to-table restaurant.",
NEW,"W Seattle","1112 4th Ave, Seattle, WA 98101, USA",4.3,2602,"Hotel Spa","","Downtown","https://www.marriott.com/en-us/hotels/seawh-w-seattle/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0",ChIJT4UGXbFqkFQRFPtYh4fxIVk,"Upscale high-rise lodging featuring modern rooms, plus a trendy restaurant, a gym & a lively lounge.",
NEW,"Inn at the WAC","1325 6th Ave, Seattle, WA 98101, USA",4.4,281,"Hotel Spa","pool; coed","Downtown","http://www.wac.net/",ChIJWYtiabRqkFQRLneAT1qAJNg,"The hotel itself is absolutely beautiful â€” elegant, welcoming, and impeccably maintained.",
NEW,"Hotel Ballard","5216 Ballard Ave NW, Seattle, WA 98107, USA",4.5,380,"Hotel Spa","","Ballard","http://www.hotelballardseattle.com/",ChIJc8v5UsYVkFQRmARnp0afFmI,"Elegant hotel with chic rooms & suites, plus free WiFi & access to a health club with 2 pools.",
NEW,"Seattle Athletic Club Northgate","333 NE 97th St, Seattle, WA 98115, USA",4.5,126,"Gym Sauna","pool","University District","https://www.sacng.com/",ChIJVxzAVv8TkFQRnIfhC4JEr44,"Established facility providing exercise equipment, sports courts, a swimming pool & group classes.",
NEW,"Float Seattle (Greenwood)","111 NW 85th St, Seattle, WA 98117, USA",4.9,371,"Float Spa","cold_plunge; private","","http://www.floatseattle.com/",ChIJS0ZjBOAVkFQRUf3nTw1pbg4,"You get your own private room with a cold plunge and sauna, and itâ€™s always clean and well maintained.",
NEW,"Float Seattle (Greenlake)","408 NE 70th St, Seattle, WA 98115, USA",4.9,287,"Float Spa","","University District","http://www.floatseattle.com/",ChIJt4K3VGwUkFQR0J5H9YdkWBM,"Float Spa offering sauna and wellness experiences.",
NEW,"Float Seattle (Bellevue)","11101 NE 12th St, Bellevue, WA 98004, USA",4.8,339,"Float Spa","","","http://www.floatseattle.com/",ChIJd--hlIxskFQR6d_GWx3vRJ8,"But it was still peaceful and relaxing.",
NEW,"Anytime Fitness","1700 E Madison St, Seattle, WA 98122, USA",3.8,178,"Gym Sauna","","SoDo","https://www.anytimefitness.com/locations/seattle-washington-2816/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=2816",ChIJ261nztNqkFQRG4CMi79sqKE,"Not a lot of space between all the gear though and felt a bit cramped.",
NEW,"Golden Gardens Bathhouse","8498 Seaview Pl NW, Seattle, WA 98117, USA",4.6,30,"Modern Bathhouse","","","https://www.seattle.gov/parks/reserve/event-space-rentals/golden-gardens-bathhouse",ChIJLYQD1bsXkFQRe-zhTUI8eQg,"Modern Bathhouse offering sauna and wellness experiences.",
NEW,"Pritchard Beach Bath House","8400 55th Ave S, Seattle, WA 98118, USA",4.5,199,"Modern Bathhouse","","Columbia City","http://www.seattle.gov/parks/reserve/event-space-rentals/pritchard-beach-bathhouse",ChIJKQf1cQpCkFQRY_Wv-y4SPhk,"Bathrooms are typical, showers do work, and there are routine patrols by SPD.",
NEW,"LA Fitness","1416 NW Ballard Way, Seattle, WA 98107, USA",3.8,1145,"Gym Sauna","","Ballard","https://www.lafitness.com/Pages/clubhome.aspx?clubid=455&utm_source=google&utm_medium=googlemaps&utm_campaign=maps",ChIJpfJWZLcVkFQRx8ki-5sWTTQ,"The gym is spacious with tons of different machines and equipment.",
NEW,"Anytime Fitness","837 N 34th St, Seattle, WA 98103, USA",4.5,162,"Gym Sauna","","Fremont","https://www.anytimefitness.com/locations/seattle-washington-106/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=106",ChIJW6MqrwAVkFQRbN4OzFWwlXc,"Gym Sauna offering sauna and wellness experiences.",
NEW,"Bouldering Project - Fremont","3535 Interlake Ave N, Seattle, WA 98103, USA",4.5,307,"Gym Sauna","","Fremont","https://boulderingproject.com/location/fremont-upper-walls/",ChIJw1uKyMMVkFQRnRlmCHrfBj0,"You have to wait to use any space in the gym or a wall from 4pm on every day.",
NEW,"LA Fitness","6416 Roosevelt Way NE, Seattle, WA 98115, USA",3.9,794,"Gym Sauna","pool","University District","https://www.lafitness.com/Pages/clubhome.aspx?clubid=1334&utm_source=google&utm_medium=googlemaps&utm_campaign=maps",ChIJ51_kt28UkFQRKINNPPaSJqg,"Gym Sauna offering sauna and wellness experiences.",
NEW,"Magnuson Athletic Club","7751 63rd Ave NE, Seattle, WA 98115, USA",4.6,110,"Gym Sauna","steam_room; pool","University District","http://www.macseattle.com/",ChIJ72qaeaQTkFQREu3x5dO6u7w,"Only downsides are no pool/hot tub and it can get pretty crowded during rush hour.",
NEW,"Anytime Fitness","110 W Galer St, Seattle, WA 98119, USA",4.6,173,"Gym Sauna","","South Lake Union","https://www.anytimefitness.com/locations/seattle-washington-3783/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=3783",ChIJn97SZGsVkFQRQgugwFfXeF8,"The gym is impeccable- bathrooms are clean and smell great.",
NEW,"Alki Beach Park Bathhouse Lawn Outdoor Event Space","2701 Alki Ave SW, Seattle, WA 98116, USA",4.5,216,"Modern Bathhouse","","","https://www.seattle.gov/parks/rentals-and-permits/indoor-event-rentals/alki-beach-bathhouse",ChIJt19IDIZAkFQRrmLn7DjpLzI,"Spacious beach featuring a path for biking & running, volleyball courts & a picnic area.",
NEW,"Bouldering Project - Poplar","900 Poplar Pl S, Seattle, WA 98144, USA",4.5,726,"Gym Sauna","","Beacon Hill","https://boulderingproject.com/location/poplar/",ChIJV61LeJRqkFQRaaGeX7nIlss,"Big, modern rock-climbing gym with frequently redesigned routes, plus a fitness center & cafe.",
NEW,"LA Fitness","3900 SW Alaska St, Seattle, WA 98116, USA",3.6,969,"Gym Sauna","pool","","https://www.lafitness.com/Pages/clubhome.aspx?clubid=933&utm_source=google&utm_medium=googlemaps&utm_campaign=maps",ChIJj2hgw_hAkFQR6yJd7wv5YwA,"This is a good gym for a budget with swimming pool, sauna, and hot tub.",
NEW,"Anytime Fitness","2222 California Ave SW, Seattle, WA 98116, USA",4.2,130,"Gym Sauna","","","https://www.anytimefitness.com/locations/seattle-washington-1993/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=1993",ChIJ0RRtPl9AkFQR9o8oNO1O65c,"Very impressed with how spacious and impeccably clean this gym is, making for a comfortable workout environment.",
NEW,"Level Seattle - South Lake Union","110 Boren Ave N, Seattle, WA 98109, USA",4.2,642,"Hotel Spa","pool","Queen Anne","https://www.stayinglevel.com/destinations/seattle/south-lake-union/",ChIJJ3tgPKEVkFQRv9li74cCqPs,"Luxurious apartment hotel offering polished units with balconies, plus an indoor & an outdoor pool.",
NEW,"LA Fitness","13244 Aurora Ave N, Seattle, WA 98133, USA",3.6,769,"Gym Sauna","pool","","https://www.lafitness.com/Pages/clubhome.aspx?clubid=326&utm_source=google&utm_medium=googlemaps&utm_campaign=maps",ChIJs2Xd2TARkFQRNN7SH1-1lCU,"What's not great is the hot tub is always down, and or the sauna has been out of commission for months.",
NEW,"Anytime Fitness","809 NE Northgate Way, Seattle, WA 98125, USA",4.7,40,"Gym Sauna","","Northgate","https://www.anytimefitness.com/locations/seattle-washington-5519",ChIJV0h0mGoRkFQR45ef3d1E0xU,"Itâ€™s clean, everythingâ€™s brand new, and thereâ€™s a solid range of equipment â€” weights, cardio, open space â€” without it feeling packed in.",
NEW,"Sauna n Soak","50 Railroad Ave, Edmonds, WA 98020, USA",4.8,24,"Boutique Sauna","dry_sauna; cold_plunge","","https://www.saunansoak.com/",ChIJzzM5vYwbkFQRu7nN4jr3ZGk,"This is hands down one of the best sauna experiences in the Pacific Northwest.",
NEW,"Elliott Bay Sauna & Hot Tub Co","32510 Pacific Hwy S, Federal Way, WA 98003, USA",4.6,1400,"Boutique Sauna","steam_room; pool; private","Federal Way","http://www.elliottbayhottubco.com/rates.html",ChIJpWpzPJxXkFQRh3S3VT9KvdA,"Always a great place to relax!",
NEW,"LA Fitness","350 Baker Blvd, Tukwila, WA 98188, USA",3.6,785,"Gym Sauna","","","https://www.lafitness.com/Pages/clubhome.aspx?clubid=533&utm_source=google&utm_medium=googlemaps&utm_campaign=maps",ChIJS4GW1NVckFQR8m1GBSlHazo,"The sauna room is always out of order.",
